Kp,Ki,Kd,Settling_Time
0.8,0.7,2.5,21.881823485290443
0.8,0.7,2.6,22.281856821401785
0.8,0.7,2.7,22.721893491124263
0.8,0.7,2.8,23.08192349362447
0.8,0.7,2.9,23.47195599633303
0.8,0.7,3.0,23.861988499041587
0.9,0.1,0.3,8.410700891740978
0.9,0.1,0.4,5.640470039169931
0.9,0.1,0.5,6.000500041670139
0.9,0.1,0.6000000000000001,6.800566713892825
0.9,0.1,0.7,12.081006750562548
0.9,0.1,0.8,12.261021751812653
0.9,0.1,0.9000000000000001,12.76106342195183
0.9,0.1,1.0,13.841153429452454
0.9,0.1,1.1,15.721310109175766
0.9,0.1,1.2,18.271522626885574
0.9,0.1,1.3,21.081756813067756
0.9,0.1,1.4000000000000001,22.051837653137763
0.9,0.1,1.5000000000000002,2.990249187432286
0.9,0.1,1.6,3.1402616884740397
0.9,0.1,1.7000000000000002,3.300275022918577
0.9,0.1,1.8,3.4602883573631136
0.9,0.1,1.9000000000000001,3.630302525210434
0.9,0.1,2.0,3.7903158596549713
0.9,0.1,2.1,3.9503291940995084
0.9,0.1,2.2,4.110342528544045
0.9,0.1,2.3,4.250354196183015
0.9,0.1,2.4,4.4103675306275525
0.9,0.1,2.5,4.550379198266523
0.9,0.1,2.6,4.680390032502709
0.9,0.1,2.7,4.820401700141678
0.9,0.1,2.8,4.950412534377865
0.9,0.1,2.9,5.080423368614052
0.9,0.1,3.0,5.210434202850238
0.9,0.2,0.3,12.51104258688224
0.9,0.2,0.4,8.780731727643971
0.9,0.2,0.5,9.270772564380366
0.9,0.2,0.6000000000000001,6.140511709309109
0.9,0.2,0.7,6.690557546462205
0.9,0.2,0.8,7.580631719309943
0.9,0.2,0.9000000000000001,8.590715892991083
0.9,0.2,1.0,9.290774231185933
0.9,0.2,1.1,10.01083423618635
0.9,0.2,1.2,10.760896741395117
0.9,0.2,1.3,11.580965080423368
0.9,0.2,1.4000000000000001,12.331027585632137
0.9,0.2,1.5000000000000002,13.051087590632553
0.9,0.2,1.6,13.671139261605134
0.9,0.2,1.7000000000000002,14.201183431952664
0.9,0.2,1.8,14.741228435702975
0.9,0.2,1.9000000000000001,15.211267605633804
0.9,0.2,2.0,15.62130177514793
0.9,0.2,2.1,15.991332611050922
0.9,0.2,2.2,16.391365947162264
0.9,0.2,2.3,16.731394282856904
0.9,0.2,2.4,17.08142345195433
0.9,0.2,2.5,17.411450954246188
0.9,0.2,2.6,17.741478456538047
0.9,0.2,2.7,18.021501791815986
0.9,0.2,2.8,18.31152596049671
0.9,0.2,2.9,18.621551795983
0.9,0.2,3.0,18.90157513126094
0.9,0.3,0.3,19.161596799733314
0.9,0.3,0.4,12.361030085840488
